FLO.ST — Table des vecteurs système Smaky 6
============================================================
343 entrées de 8 octets

  N°     Adr  Nom       Octets raw
 187  0x0007  BELL      00 07 20 A0 CC 4C C5 42
 188  0x0006  BDX1      00 06 20 A0 B1 58 C4 42
 189  0x0005  BDX0      00 05 20 A0 B0 58 C4 42
 190  0x0001  BDOUB     00 01 20 C2 D5 4F C4 42
 191  0x0001  ATPROT    00 01 54 CF D2 50 D4 41
 192  0x100C  ADBLK     10 0C 20 CB CC 42 C4 41
 193  0x09D7  ?WRLIN    09 D7 4E C9 CC 52 D7 3F;?WRLINE
 194  0x61E7  ?WRCLK    61 E7 4B CC C3 52 D7 3F
 195  0x16D7  ?WRBYT    16 D7 54 D9 C2 52 D7 3F;?WRBYTE
 196  0x08D7  ?WRBLK    08 D7 4B CC C2 52 D7 3F
 197  0x16E7  ?WPP      16 E7 20 A0 D0 50 D7 3F
 198  0x2AE7  ?WPAR     2A E7 20 D2 C1 50 D7 3F
 199  0x17E7  ?WMOD     17 E7 20 C4 CF 4D D7 3F
 200  0x17D7  ?UPDAT    17 D7 54 C1 C4 50 D5 3F;?UPDATE
 201  0x5DE7  ?TRAPP    5D E7 50 D0 C1 52 D4 3F;?TRAPPE
 202  0x5EE7  ?TEXTI    5E E7 49 D4 D8 45 D4 3F;?TEXTIM
 203  0x06E7  ?TEXTH    06 E7 48 D4 D8 45 D4 3F
 204  0x53E7  ?TEXT     53 E7 20 D4 D8 45 D4 3F
 205  0x51E7  ?TAB      51 E7 20 A0 C2 41 D4 3F
 206  0x64E7  ?STOD     64 E7 20 C4 CF 54 D3 3F
 207  0x22E7  ?SPACE    22 E7 45 C3 C1 50 D3 3F
 208  0x62E7  ?SJOUR    62 E7 52 D5 CF 4A D3 3F
 209  0x22D7  ?SHEAD    22 D7 44 C1 C5 48 D3 3F
 210  0x20E7  ?SETCU    20 E7 55 C3 D4 45 D3 3F
 211  0x63E7  ?SDAY     63 E7 20 D9 C1 44 D3 3F
